course_code,language,country_code,website,course_name,course_link,result_blog_dict,results_product_dict,inspiration_blog_dict,course_document_path
AT,English,en,en.scholistico,Art Therapy Practitioner,,{'9-art-therapy-exercises-to-reduce-anxiety': 'https://scholistico.com/9-art-therapy-exercises-to-re...,{},{'9-art-therapy-exercises-to-reduce-anxiety': 'https://scholistico.com/9-art-therapy-exercises-to-re...,courses/AT
HHP,English,en,en.scholistico,Holistic Health Practioner,,{'8-natural-ways-to-relieve-headaches-at-home': 'https://scholistico.com/8-natural-ways-to-relieve-h...,{},{'8-natural-ways-to-relieve-headaches-at-home': 'https://scholistico.com/8-natural-ways-to-relieve-h...,courses/HHP
HNC,English,en,en.scholistico,Holistic Nutrition Consultant,,{'8-best-superfoods-for-your-immune-system': 'https://scholistico.com/8-best-superfoods-for-your-imm...,{},{'8-best-superfoods-for-your-immune-system': 'https://scholistico.com/8-best-superfoods-for-your-imm...,courses/HNC
NAT,English,en,en.scholistico,Naturopathy,,"{'8-herbal-remedies-for-dry-skin': 'https://scholistico.com/8-herbal-remedies-for-dry-skin/', '7-hom...",{},"{'8-herbal-remedies-for-dry-skin': 'https://scholistico.com/8-herbal-remedies-for-dry-skin/', '7-hom...",courses/NAT
